2020,11,15, Sun, Bishop Briggs, bishop briggs, River, 3
2020,11,19, Thu, Azur Lane Character Song Single VOL.05 Z23 (CV. Rika Abe), z23 (cv:rika abe), Wissen ist Macht!!(Off Vocal), 5
